TRIMESTRE,CVE_EDO,NOM_EDO,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,BECA,FECHA_ALTA
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2020
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,1900,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,1900,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,1900,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2022
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/09/2023
3,32,Zacatecas,1,Apozol,1,Apozol,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,1900,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,1900,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,1900,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2021
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2022
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/03/2025
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,1,Apulco,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2022
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2022
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2022
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,1900,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2022
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2022
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2022
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2022
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2022
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2022
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,1900,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/03/2025
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
3,32,Zacatecas,2,Apulco,22,Tenayuca,5700,01/09/2023
