"TRIMESTRE","CVE_EDO","NOM_EDO","CVE_MUN","NOM_MUN","CVE_LOC","NOM_LOC","BECA","FECHA_ALTA"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2020"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,1900,"01/03/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2021"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/03/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/03/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/03/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/03/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/03/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/03/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,1900,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/03/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2020"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/03/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,5700,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2023"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,9500,"01/09/2022"
4,"18",Nayarit,"001",Acaponeta,"0001",Acaponeta,3800,"01/09/2025"
